original_variable_name,english_variable_name,description,role_in_exam
ids,student_id,Student ID,ID
ln抑郁,log_depression,Log depressive-symptom score; outcome variable for the regression and matched-pair analysis,Outcome
独生子女,only_child,Indicator or coded variable for only-child status,Control
户口类型,household_registration_type,Household registration type,Control
与父母关系,relationship_with_parents,Student relationship with parents,Control
家庭经济状况,family_economic_status,Family economic status,Control
父亲喝酒,father_drinks,Father drinks alcohol,Control
父母关系,parental_relationship,Relationship between parents,Control
学校性质,school_type,School type,Control
地区类型,region_type,Region type,Control
性别,gender,Student gender/sex variable as coded in the original data,Control
家中网络情况,home_internet_access,Internet access at home,Control
寄宿,boarding_status,Boarding status,Control
父母对你信心,parents_confidence_in_student,Parents’ confidence in the student,Control
锻炼一周几天,exercise_days_per_week,Number of days per week the student exercises,Treatment-definition check
锻炼每天多少分钟,exercise_minutes_per_day,Number of minutes per day the student exercises,Treatment-definition check
平均每天锻炼时间,average_daily_exercise_time,Average daily exercise time,Background/exercise variable; not required for propensity score model
体育psm,regular_exercise_treatment,"Treatment indicator: regular exercise, defined by the paper as at least 3 days per week and at least 30 minutes per day",Treatment indicator
ln平均体育,log_average_exercise,Log average physical exercise; main continuous exercise predictor in the baseline regression,Main continuous predictor
亲子互动,parent_child_interaction,Parent-child interaction score; treated in the paper as a mediator,Mediator in paper; do not use in propensity score model
同伴关系,peer_relationship,Peer relationship score; treated in the paper as a mediator,Mediator in paper; do not use in propensity score model
